311
(t,108,182,91)
(Ai,26,23,76)
(L,20,45,60)
(x,88,40,35)
(W,59,27,30)
(4,56,103,45)
(X,12,28,9)
(AN,20,18,4)
(0,2,0,0)
(AF,18,19,8)
(As,25,20,0)
(f,51,7,4)
(N,30,9,1)
(Ak,13,3,2)
(D,2,0,0)
(Aa,48,87,46)
(AR,29,19,19)
(U,66,24,17)
(K,26,1240,0)
(b,34,57,8)
(Af,58,99,33)
(V,61,27,21)
(AD,63,107,43)
(I,32,32,5)
(At,25,22,9)
(P,22,18,15)
(z,17,19,8)
(q,52,54,14)
(AO,35,14,20)
(Ac,14,12,5)
(AL,13,26,11)
(Al,9,39,5)
(AH,27,11,15)
(Au,28,26,17)
(Av,12,11,13)
(Y,13,48,8)
(T,246,433,146)
(M,8,1,4)
(AW,20,50,20)
(u,73,20,18)
(AM,25,47,19)
(AG,29,7,0)
(Ag,21,14,15)
(Aw,9,10,16)
(C,67,39,29)
(H,41,59,25)
(k,45,23,3)
(8,83,16,7)
(Ax,67,56,35)
(Ay,17,21,17)
(AX,57,145,23)
(Az,17,29,13)
(m,9,14,0)
(AE,67,47,21)
(AZ,25,41,8)
(A0,35,10,6)
(AV,33,29,19)
(F,80,20,11)
(d,6,10,0)
(AU,25,27,17)
(AT,13,28,15)
(r,5,2,0)
(Q,23,82,7)
(R,30,25,23)
(2,14,8,9)
(h,17,19,1)
(Ac,12,11,4)
(An,11,6,104)
(A1,17,10,13)
(U,74,26,12)
(I,19,27,0)
(t,51,88,47)
(AX,67,178,32)
(g,424,104,70)
(Z,9,13,0)
(R,17,11,20)
(Aj,46,46,45)
(8,89,16,8)
(Ah,8,20,11)
(A,234,263,415)
(A2,18,21,8)
(Aw,9,13,18)
(b,38,42,7)
(Ad,9,12,17)
(W,41,19,21)
(A3,17,25,4)
(O,17,37,11)
(AS,80,236,144)
(6,9,35,0)
(N,28,12,0)
(AT,8,19,13)
(AC,18,19,3)
(m,6,15,0)
(a,11,34,32)
(A4,19,21,6)
(Ag,23,13,12)
(D,1,0,0)
(0,6,3,1)
(f,45,6,5)
(AR,35,26,24)
(Ak,13,4,2)
(AA,54,62,54)
(Au,29,31,16)
(A5,30,24,28)
(A6,23,34,15)
(3,10,9,35)
(c,32,43,23)
(Aa,67,74,55)
(4,62,67,28)
(AU,14,19,12)
(h,17,10,1)
(v,115,47,39)
(A7,71,49,56)
(X,11,21,4)
(S,46,125,9)
(Y,10,41,6)
(7,37,79,36)
(Az,16,37,20)
(Af,43,73,21)
(M,12,3,8)
(Ar,5,4,1)
(A8,26,15,4)
(B,11,15,4)
(A9,19,24,2)
(z,21,26,3)
(E,41,63,9)
(AZ,20,33,4)
(AG,39,9,1)
(BA,29,14,71)
(AN,21,20,4)
(Ax,40,37,25)
(V,60,31,21)
(u,121,31,22)
(q,45,42,12)
(1,97,518,38)
(Ao,11,29,9)
(BB,36,15,12)
(AL,9,22,6)
(Ap,34,34,13)
(Q,27,83,8)
(T,122,212,81)
(F,87,17,12)
(BC,22,17,4)
(BD,267,391,182)
(At,49,38,15)
(BE,15,15,3)
(x,90,49,47)
(P,21,16,14)
(C,53,39,25)
(K,24,1482,4)
(Ai,21,19,52)
(Aq,22,20,11)
(L,14,40,56)
(BF,3,1,0)
(AM,30,56,18)
(n,28,7,7)
(s,25,22,17)
(AI,6,6,2)
(AB,4,13,28)
(AD,69,139,58)
(w,24,13,12)
(AE,74,42,19)
(Al,9,36,5)
(AH,27,10,9)
(AW,24,53,20)
(i,48,17,18)
(A9,14,29,9)
(D,1,0,0)
(BG,16,20,0)
